Question Number,Question Title,Answer Option,Is Correct
"7","Do graficznego tworzenia stron internetowych należy wykorzystać.","D. program MS Office Picture Manager",false
"8","W procesie walidacji stron internetowych nie bada się","A. działania linków",false
"8","W procesie walidacji stron internetowych nie bada się","B. błędów składni kodu",false
"8","W procesie walidacji stron internetowych nie bada się","C. zgodności z przeglądarkami",false
"8","W procesie walidacji stron internetowych nie bada się","D. źródła pochodzenia narzędzi edytorskich",true
"9","Model opisu przestrzeni barw o parametrach: odcień, nasycenie i jasność, to","A. HSV",true
"9","Model opisu przestrzeni barw o parametrach: odcień, nasycenie i jasność, to","B. RGB",false
"9","Model opisu przestrzeni barw o parametrach: odcień, nasycenie i jasność, to","C. CMY",false
"9","Model opisu przestrzeni barw o parametrach: odcień, nasycenie i jasność, to","D. CMYK",false
"10","Wskaż model barw, który stosuje się do wyświetlania kolorów na ekranie monitora komputerowego","A. HLS",false
"10","Wskaż model barw, który stosuje się do wyświetlania kolorów na ekranie monitora komputerowego","B. RGB",true
"10","Wskaż model barw, który stosuje się do wyświetlania kolorów na ekranie monitora komputerowego","C. CMY",false
"10","Wskaż model barw, który stosuje się do wyświetlania kolorów na ekranie monitora komputerowego","D. CMYK",false
"11","Który parametr obiektu graficznego ulegnie zmianie po modyfikacji wartości kanału alfa?","A. Nasycenie barw",false
"11","Który parametr obiektu graficznego ulegnie zmianie po modyfikacji wartości kanału alfa?","B. Przezroczystość",true
"11","Który parametr obiektu graficznego ulegnie zmianie po modyfikacji wartości kanału alfa?","C. Ostrość krawędzi",false
"11","Który parametr obiektu graficznego ulegnie zmianie po modyfikacji wartości kanału alfa?","D. Kolejność wyświetlenia pikseli",false
"12","Jakiego formatu należy użyć do zapisu obrazu z kompresją stratną?","A. GIF",false
"12","Jakiego formatu należy użyć do zapisu obrazu z kompresją stratną?","B. PNG",false
"12","Jakiego formatu należy użyć do zapisu obrazu z kompresją stratną?","C. PCX",false
"12","Jakiego formatu należy użyć do zapisu obrazu z kompresją stratną?","D. JPEG",true
"13","Najprostszy sposób zamiany obiektu oznaczonego cyfrą 1 na obiekt oznaczony cyfrą 2 polega na","A. animowaniu obiektu",false
"13","Najprostszy sposób zamiany obiektu oznaczonego cyfrą 1 na obiekt oznaczony cyfrą 2 polega na","B. zmianie warstwy obiektu",false
"13","Najprostszy sposób zamiany obiektu oznaczonego cyfrą 1 na obiekt oznaczony cyfrą 2 polega na","C. narysowaniu docelowego obiektu",false
"13","Najprostszy sposób zamiany obiektu oznaczonego cyfrą 1 na obiekt oznaczony cyfrą 2 polega na","D. geometrycznym transformowaniu obiektu",true
"14","Jak nazywa się proces przedstawienia, we właściwej dla danego środowiska formie, informacji zawartej w dokumencie elektronicznym?","A. Mapowanie",false
"14","Jak nazywa się proces przedstawienia, we właściwej dla danego środowiska formie, informacji zawartej w dokumencie elektronicznym?","B. Rasteryzacja",false
"14","Jak nazywa się proces przedstawienia, we właściwej dla danego środowiska formie, informacji zawartej w dokumencie elektronicznym?","C. Renderowanie",true
"14","Jak nazywa się proces przedstawienia, we właściwej dla danego środowiska formie, informacji zawartej w dokumencie elektronicznym?","D. Teksturowanie",false
"15","Proces filtracji sygnału wejściowego w dziedzinie czasu, obejmujący zasadę superpozycji, związany jest filtrem","A. liniowym",true
"15","Proces filtracji sygnału wejściowego w dziedzinie czasu, obejmujący zasadę superpozycji, związany jest filtrem","B. przyczynowym",false
"15","Proces filtracji sygnału wejściowego w dziedzinie czasu, obejmujący zasadę superpozycji, związany jest filtrem","C. niezmiennym w czasie",false
"15","Proces filtracji sygnału wejściowego w dziedzinie czasu, obejmujący zasadę superpozycji, związany jest filtrem","D. o skończonej odpowiedzi impulsowej",false
"16","Jak nazywa się podzbiór strukturalnego języka zapytań, związany z formułowaniem zapytań do bazy danych za pomocą polecenia SELECT?","A. SQL DML (ang. Data Manipulation Language)",false
"16","Jak nazywa się podzbiór strukturalnego języka zapytań, związany z formułowaniem zapytań do bazy danych za pomocą polecenia SELECT?","B. SQL DDL (ang. Data Definition Language)",false
"16","Jak nazywa się podzbiór strukturalnego języka zapytań, związany z formułowaniem zapytań do bazy danych za pomocą polecenia SELECT?","C. SQL DCL (ang. Data Control Language)",false
"16","Jak nazywa się podzbiór strukturalnego języka zapytań, związany z formułowaniem zapytań do bazy danych za pomocą polecenia SELECT?","D. SQL DQL (ang. Data Query Language)",true
"17","Jakie sa nazwy typowych poleceń języka zapytań SQL, związane z wykonywaniem operacji na danych SQL DML (np.: umieszczanie danych w bazie, kasowanie dokonywanie zmian w danych)?","A. SELECT, SELECT INTO",false
"17","Jakie sa nazwy typowych poleceń języka zapytań SQL, związane z wykonywaniem operacji na danych SQL DML (np.: umieszczanie danych w bazie, kasowanie dokonywanie zmian w danych)?","B. ALTER, CREATE, DROP",false
"17","Jakie sa nazwy typowych poleceń języka zapytań SQL, związane z wykonywaniem operacji na danych SQL DML (np.: umieszczanie danych w bazie, kasowanie dokonywanie zmian w danych)?","C. DENY, GRANT, REVOKE",false
"17","Jakie sa nazwy typowych poleceń języka zapytań SQL, związane z wykonywaniem operacji na danych SQL DML (np.: umieszczanie danych w bazie, kasowanie dokonywanie zmian w danych)?","D. DELETE, INSERT, UPDATE",true
"18","Jak posortowana będzie lista, utworzona ze wszystkich kolumn tabeli uczniowie i zawierająca uczniów ze średnią większą od 5, która zostanie zwrócona jako wynik przedstawionego zapytania?","A. Rosnąca według parametru klasa",false
"18","Jak posortowana będzie lista, utworzona ze wszystkich kolumn tabeli uczniowie i zawierająca uczniów ze średnią większą od 5, która zostanie zwrócona jako wynik przedstawionego zapytania?","B. Malejąco według parametru klasa",true
"18","Jak posortowana będzie lista, utworzona ze wszystkich kolumn tabeli uczniowie i zawierająca uczniów ze średnią większą od 5, która zostanie zwrócona jako wynik przedstawionego zapytania?","C. Rosnaco według parametru srednia",false
"18","Jak posortowana będzie lista, utworzona ze wszystkich kolumn tabeli uczniowie i zawierająca uczniów ze średnią większą od 5, która zostanie zwrócona jako wynik przedstawionego zapytania?","D. Malejąco według parametru srednia",false
"19","Według którego parametru oraz dla ilu tabel zostaną zwrócone wiersze na liście w wyniku przedstawionego zapytania?","A. Według parametru wyrob_id wyłącznie dla trzech tabel",false
"19","Według którego parametru oraz dla ilu tabel zostaną zwrócone wiersze na liście w wyniku przedstawionego zapytania?","B. Według parametru wyrob_id dla wyłącznie dla trzech tabel",false
"19","Według którego parametru oraz dla ilu tabel zostaną zwrócone wiersze na liście w wyniku przedstawionego zapytania?","C. Według parametru nr_id wyłącznie dla trzech tabel",false
"19","Według którego parametru oraz dla ilu tabel zostaną zwrócone wiersze na liście w wyniku przedstawionego zapytania?","D. Według parametru nr_id dla wszystkich tabel",true
"20","Który z obiektów relacyjnej bazy danych, będący kodem języka SQL, może być wywoływany w zapytaniach modyfikujących kolumny danych widoczne jako tabela, bez względu na to czy jest tworzony programowo, czy dynamicznie?","A. Reguła",false
"20","Który z obiektów relacyjnej bazy danych, będący kodem języka SQL, może być wywoływany w zapytaniach modyfikujących kolumny danych widoczne jako tabela, bez względu na to czy jest tworzony programowo, czy dynamicznie?","B. Wyzwalacz",false
"20","Który z obiektów relacyjnej bazy danych, będący kodem języka SQL, może być wywoływany w zapytaniach modyfikujących kolumny danych widoczne jako tabela, bez względu na to czy jest tworzony programowo, czy dynamicznie?","C. Procedura składowa",false
"20","Który z obiektów relacyjnej bazy danych, będący kodem języka SQL, może być wywoływany w zapytaniach modyfikujących kolumny danych widoczne jako tabela, bez względu na to czy jest tworzony programowo, czy dynamicznie?","D. Funkcja zdefiniowana",true
"21","Jak nazywa się element bazy danych, za pomocą którego można jedynie odczytać dane z bazy, prezentując je w postaci tekstu lub wykresu?","A. Tabela",false
"21","Jak nazywa się element bazy danych, za pomocą którego można jedynie odczytać dane z bazy, prezentując je w postaci tekstu lub wykresu?","B. Raport",true
"21","Jak nazywa się element bazy danych, za pomocą którego można jedynie odczytać dane z bazy, prezentując je w postaci tekstu lub wykresu?","C. Zapytanie",false
"21","Jak nazywa się element bazy danych, za pomocą którego można jedynie odczytać dane z bazy, prezentując je w postaci tekstu lub wykresu?","D. Formularz",false
"22","Jakiego typu specjalizowane oprogramowanie narzędziowe należy zainstalować, aby umożliwić wykonywanie jego użytkownikowi operacji na zgromadzonych danych?","A. Klucz obcy",false
"22","Jakiego typu specjalizowane oprogramowanie narzędziowe należy zainstalować, aby umożliwić wykonywanie jego użytkownikowi operacji na zgromadzonych danych?","B. System Zarządzania Bazą Danych (SZBD)",true
"22","Jakiego typu specjalizowane oprogramowanie narzędziowe należy zainstalować, aby umożliwić wykonywanie jego użytkownikowi operacji na zgromadzonych danych?","C. Obiektowy System Zarządzania Bazą Danych",false
"22","Jakiego typu specjalizowane oprogramowanie narzędziowe należy zainstalować, aby umożliwić wykonywanie jego użytkownikowi operacji na zgromadzonych danych?","D. Otwarty mechanizm komunikacji bazy danych",false
"23","Co należy zastosować w organizacji danych, aby zapytania w bazie danych były wykonywane szybciej?","A. Reguły",false
"23","Co należy zastosować w organizacji danych, aby zapytania w bazie danych były wykonywane szybciej?","B. Indeksy",true
"23","Co należy zastosować w organizacji danych, aby zapytania w bazie danych były wykonywane szybciej?","C. Wartości domyślne",false
"23","Co należy zastosować w organizacji danych, aby zapytania w bazie danych były wykonywane szybciej?","D. Klucze podstawowe",false
"24","W programie Microsoft Access formą zabezpieczeń dostępu do danych związaną z tabelą i kwerendą jest","A. stosowanie makr",false
"24","W programie Microsoft Access formą zabezpieczeń dostępu do danych związaną z tabelą i kwerendą jest","B. przypisanie uprawnień",true
"24","W programie Microsoft Access formą zabezpieczeń dostępu do danych związaną z tabelą i kwerendą jest","C. określanie przestrzeni tabel",false
"24","W programie Microsoft Access formą zabezpieczeń dostępu do danych związaną z tabelą i kwerendą jest","D. wprowadzenie limitów przestrzeni dyskowej",false
"25","Które z wymienionych osób odpowiadają za przygotowanie systemu bazy danych do pracy produkcyjnej w sposób ciągły, zarządzanie użytkownikami i instalowanie nowych wersji systemu bazodanowego?","A. Projektanci narzędzi deweloperskich",false
"25","Które z wymienionych osób odpowiadają za przygotowanie systemu bazy danych do pracy produkcyjnej w sposób ciągły, zarządzanie użytkownikami i instalowanie nowych wersji systemu bazodanowego?","B. Administratorzy systemu bazy danych",true
"25","Które z wymienionych osób odpowiadają za przygotowanie systemu bazy danych do pracy produkcyjnej w sposób ciągły, zarządzanie użytkownikami i instalowanie nowych wersji systemu bazodanowego?","C. Administratorzy serwerów i sieci komputerowych",false
"25","Które z wymienionych osób odpowiadają za przygotowanie systemu bazy danych do pracy produkcyjnej w sposób ciągły, zarządzanie użytkownikami i instalowanie nowych wersji systemu bazodanowego?","D. Projektanci i programiści Systemu Zarządzania Bazą Danych.",false
"26","Z jakimi mechanizmami nadawania zabezpieczeń, dającymi możliwości wykonywania operacji na bazie danych, związane są zagadnienia zarządzania kontami, użytkownikami i uprawnieniami?","A. Z regułami",false
"26","Z jakimi mechanizmami nadawania zabezpieczeń, dającymi możliwości wykonywania operacji na bazie danych, związane są zagadnienia zarządzania kontami, użytkownikami i uprawnieniami?","B. Z atrybutami",false
"26","Z jakimi mechanizmami nadawania zabezpieczeń, dającymi możliwości wykonywania operacji na bazie danych, związane są zagadnienia zarządzania kontami, użytkownikami i uprawnieniami?","C. Z przywilejami obiektowymi",false
"26","Z jakimi mechanizmami nadawania zabezpieczeń, dającymi możliwości wykonywania operacji na bazie danych, związane są zagadnienia zarządzania kontami, użytkownikami i uprawnieniami?","D. Z przywilejami systemowymi",true
"27","Metoda udostępniania bazy danych w programie Microsoft Access, dotycząca wszystkich obiektów bazy umieszczonych na dysku sieciowym i używanych jednocześnie przez różne osoby nosi nazwę","A. folderu sieciowego",true
"27","Metoda udostępniania bazy danych w programie Microsoft Access, dotycząca wszystkich obiektów bazy umieszczonych na dysku sieciowym i używanych jednocześnie przez różne osoby nosi nazwę","B. serwera bazy danych",false
"27","Metoda udostępniania bazy danych w programie Microsoft Access, dotycząca wszystkich obiektów bazy umieszczonych na dysku sieciowym i używanych jednocześnie przez różne osoby nosi nazwę","C. dzielonej bazy danych",false
"27","Metoda udostępniania bazy danych w programie Microsoft Access, dotycząca wszystkich obiektów bazy umieszczonych na dysku sieciowym i używanych jednocześnie przez różne osoby nosi nazwę","D. witryny programu SharePoint",false
"28","Jakie należy posiadać uprawnienia, aby wykonać i odtworzyć kopię zapasową bazy danych Microsoft SQL Server 2005 Express?","A. Users",false
"28","Jakie należy posiadać uprawnienia, aby wykonać i odtworzyć kopię zapasową bazy danych Microsoft SQL Server 2005 Express?","B. Security users",false
"28","Jakie należy posiadać uprawnienia, aby wykonać i odtworzyć kopię zapasową bazy danych Microsoft SQL Server 2005 Express?","C. Użytkownik lokalny",false
"28","Jakie należy posiadać uprawnienia, aby wykonać i odtworzyć kopię zapasową bazy danych Microsoft SQL Server 2005 Express?","D. Administrator systemu",true
"29","Typ zmiennej w języku JavaScript","A. nie występuje",false
"29","Typ zmiennej w języku JavaScript","B. jest tylko jeden",false
"29","Typ zmiennej w języku JavaScript","C. następuje poprzez przypisanie wartości",true
"29","Typ zmiennej w języku JavaScript","D. musi być zadeklarowany na początku skryptu",false
"30","Zmienne typu int odnoszą się do liczb","A. naturalnych",false
"30","Zmienne typu int odnoszą się do liczb","B. całkowitych",true
"30","Zmienne typu int odnoszą się do liczb","C. w notacji stałoprzecinkowej",false
"30","Zmienne typu int odnoszą się do liczb","D. w notacji zmiennoprzecinkowej",false
"31","Co definiuje w języku C++ przedstawiony fragment kodu?","A. Hierarchię zmiennych",false
"31","Co definiuje w języku C++ przedstawiony fragment kodu?","B. Trzy zmienne niepowiązane ze sobą",false
"31","Co definiuje w języku C++ przedstawiony fragment kodu?","C. Typ strukturalny składający się z trzech pól",true
"31","Co definiuje w języku C++ przedstawiony fragment kodu?","D. Kontakt pomiędzy zmiennymi globalnymi i lokalnymi",false
"32","Sposób programowania, w którym ciąg poleceń (sekwencji instrukcji) przekazywanych komputerowi jest postrzegany jako program, nosi nazwę programowania","A. stanowego",false
"32","Sposób programowania, w którym ciąg poleceń (sekwencji instrukcji) przekazywanych komputerowi jest postrzegany jako program, nosi nazwę programowania","B. logicznego",false
"32","Sposób programowania, w którym ciąg poleceń (sekwencji instrukcji) przekazywanych komputerowi jest postrzegany jako program, nosi nazwę programowania","C. funkcyjnego",false
"32","Sposób programowania, w którym ciąg poleceń (sekwencji instrukcji) przekazywanych komputerowi jest postrzegany jako program, nosi nazwę programowania","D. imperatywnego",true
"33","Które wartości będą kolejno wypisane w wyniku działania przedstawionego skryptu","A. 2 2 1",true
"33","Które wartości będą kolejno wypisane w wyniku działania przedstawionego skryptu","B. 2 1 1",false
"33","Które wartości będą kolejno wypisane w wyniku działania przedstawionego skryptu","C. 1 2 1",false
"33","Które wartości będą kolejno wypisane w wyniku działania przedstawionego skryptu","D. 1 2 2",false
"34","Fragment kodu prezentuje składnię języka","A. C",false
"34","Fragment kodu prezentuje składnię języka","B. C#",false
"34","Fragment kodu prezentuje składnię języka","C. PHP",true
"34","Fragment kodu prezentuje składnię języka","D. JavaScript",false
"35","Jaki program komputerowy przekształca kod źródłowy, napisany w konkretnym języku programowania, na język komputera?","A. Debugger",false
"35","Jaki program komputerowy przekształca kod źródłowy, napisany w konkretnym języku programowania, na język komputera?","B. Kompilator",true
"35","Jaki program komputerowy przekształca kod źródłowy, napisany w konkretnym języku programowania, na język komputera?","C. Edytor kodu źródłowego",false
"35","Jaki program komputerowy przekształca kod źródłowy, napisany w konkretnym języku programowania, na język komputera?","D. Środowisko programistyczne",false
"36","Jak nazywa się program, który wykonuje instrukcje zawarte w kodzie źródłowym tworzonego programu bez uprzedniego generowania programu wynikowego?","A. Interpreter",true
"36","Jak nazywa się program, który wykonuje instrukcje zawarte w kodzie źródłowym tworzonego programu bez uprzedniego generowania programu wynikowego?","B. Kompilator",false
"36","Jak nazywa się program, który wykonuje instrukcje zawarte w kodzie źródłowym tworzonego programu bez uprzedniego generowania programu wynikowego?","C. Konwerter kodu",false
"36","Jak nazywa się program, który wykonuje instrukcje zawarte w kodzie źródłowym tworzonego programu bez uprzedniego generowania programu wynikowego?","D. Konwerter języka",false
"37","Który język skryptowy ogólnego przeznaczenia należy wykorzystać do tworzenia aplikacji WWW, zagnieżdżanych w języku HTML i uruchamianych po stronie serwera?","A. C#",false
"37","Który język skryptowy ogólnego przeznaczenia należy wykorzystać do tworzenia aplikacji WWW, zagnieżdżanych w języku HTML i uruchamianych po stronie serwera?","B. Perl",false
"37","Który język skryptowy ogólnego przeznaczenia należy wykorzystać do tworzenia aplikacji WWW, zagnieżdżanych w języku HTML i uruchamianych po stronie serwera?","C. PHP",true
"37","Który język skryptowy ogólnego przeznaczenia należy wykorzystać do tworzenia aplikacji WWW, zagnieżdżanych w języku HTML i uruchamianych po stronie serwera?","D. JavaScript",false
"38","Jak nazywa się technika umożliwiająca otwarcie połączenia klienta z serwerem i komunikację bez przeładowywania całej strony WWW w sposób asynchroniczny ?","A. PHP",false
"38","Jak nazywa się technika umożliwiająca otwarcie połączenia klienta z serwerem i komunikację bez przeładowywania całej strony WWW w sposób asynchroniczny ?","B. XML",false
"38","Jak nazywa się technika umożliwiająca otwarcie połączenia klienta z serwerem i komunikację bez przeładowywania całej strony WWW w sposób asynchroniczny ?","C. AJAX",true
"38","Jak nazywa się technika umożliwiająca otwarcie połączenia klienta z serwerem i komunikację bez przeładowywania całej strony WWW w sposób asynchroniczny ?","D. VBScript",false
"39","Jak nazywa się element oznaczony znakiem zapytania w strukturze platformy .NET, który umożliwia tworzenie własnych aplikacji z użyciem frameworków i zamianę kompilowanego kodu pośredniego na kod maszynowy procesora zainstalowanego w komputerze?","A. Infrastruktura językowa (CLI)",false
"39","Jak nazywa się element oznaczony znakiem zapytania w strukturze platformy .NET, który umożliwia tworzenie własnych aplikacji z użyciem frameworków i zamianę kompilowanego kodu pośredniego na kod maszynowy procesora zainstalowanego w komputerze?","B. Biblioteka klas bazowych (BCL)",false
"39","Jak nazywa się element oznaczony znakiem zapytania w strukturze platformy .NET, który umożliwia tworzenie własnych aplikacji z użyciem frameworków i zamianę kompilowanego kodu pośredniego na kod maszynowy procesora zainstalowanego w komputerze?","C. Wspólne środowisko programistyczne (CLP)",false
"39","Jak nazywa się element oznaczony znakiem zapytania w strukturze platformy .NET, który umożliwia tworzenie własnych aplikacji z użyciem frameworków i zamianę kompilowanego kodu pośredniego na kod maszynowy procesora zainstalowanego w komputerze?","D. Wspólne środowisko uruchomieniowe (CLR)",true
"40","Jakiego rodzaju mechanizm kontroli bezpieczeństwa wykonywania aplikacji zawiera środowisko uruchomieniowe platformy .NET Framework?","A. Mechanizm wykonywania aplikacji dla bibliotek klas",false
"40","Jakiego rodzaju mechanizm kontroli bezpieczeństwa wykonywania aplikacji zawiera środowisko uruchomieniowe platformy .NET Framework?","B. Mechanizm wykonywania aplikacji realizowany przez frameworki aplikacji internetowych (ASP.NET)",false
"40","Jakiego rodzaju mechanizm kontroli bezpieczeństwa wykonywania aplikacji zawiera środowisko uruchomieniowe platformy .NET Framework?","C. Mechanizm wykonywania aplikacji realizowany przez funkcję Windows API (Application Programming Interface)",false
"40","Jakiego rodzaju mechanizm kontroli bezpieczeństwa wykonywania aplikacji zawiera środowisko uruchomieniowe platformy .NET Framework?","D. Mechanizm wykonywania aplikacji oparty na uprawnieniach kodu (CAS - Code Access Security) i na rolach (RBS - Role-Based Security)",true
"41","Co to jest DBMS?","A. Strukturalny język zapytań kierowanych do bazy danych",false
"41","Co to jest DBMS?","B. System zarządzania bazą danych",true
"41","Co to jest DBMS?","C. Obiektowy język programowania do generowania stron www",false
"41","Co to jest DBMS?","D. Kaskadowy arkusz stylów do opisu wyglądu strony www",false
"42","Który z odsyłaczy posiada poprawną konstrukcję?","A. <a href='mailto:adres'> tekst </a>",false
"42","Który z odsyłaczy posiada poprawną konstrukcję?","B. <a href='http://adres'> tekst </a>",false
"42","Który z odsyłaczy posiada poprawną konstrukcję?","C. <a href="http://adres"> tekst <a>",false
"42","Który z odsyłaczy posiada poprawną konstrukcję?","D. <a href="mailto:adres"> tekst </a>",true
"43","Fragment kodu napisany w języku HTML zamieszczony w ramce przedstawia listę","A. wypunktowaną",false
"43","Fragment kodu napisany w języku HTML zamieszczony w ramce przedstawia listę","B. numerowaną",true
"43","Fragment kodu napisany w języku HTML zamieszczony w ramce przedstawia listę","C. odnośników",false
"43","Fragment kodu napisany w języku HTML zamieszczony w ramce przedstawia listę","D. skrótów",false
"44","Polecenie colspan służy do łączenia komórek tabeli w poziomie, natomiast rowspan w pionie. Którą z tabel wyświetli fragment kodu napisany w języku HTML?","A. A",false
"44","Polecenie colspan służy do łączenia komórek tabeli w poziomie, natomiast rowspan w pionie. Którą z tabel wyświetli fragment kodu napisany w języku HTML?","B. B",true
"44","Polecenie colspan służy do łączenia komórek tabeli w poziomie, natomiast rowspan w pionie. Którą z tabel wyświetli fragment kodu napisany w języku HTML?","C. C",false
"44","Polecenie colspan służy do łączenia komórek tabeli w poziomie, natomiast rowspan w pionie. Którą z tabel wyświetli fragment kodu napisany w języku HTML?","D. D",false
"45","W znaczniku <head> (w części <meta>) strony www NIE umieszcza się informacji dotyczącej","A. autora",false
"45","W znaczniku <head> (w części <meta>) strony www NIE umieszcza się informacji dotyczącej","B. kodowania",false
"45","W znaczniku <head> (w części <meta>) strony www NIE umieszcza się informacji dotyczącej","C. typu dokumentu",true
"45","W znaczniku <head> (w części <meta>) strony www NIE umieszcza się informacji dotyczącej","D. automatycznego odświeżania",false
"46","Wskaż sposób, w jaki należy odwołać się do pliku default.css, jeśli index.html znajduje się bezpośrednio w katalogu Strona?","A. <link rel="stylesheet" type="text/css" href="./style/default.css" />",true
"46","Wskaż sposób, w jaki należy odwołać się do pliku default.css, jeśli index.html znajduje się bezpośrednio w katalogu Strona?","B. <link rel="stylesheet" type="text/css" href="C:/style/default.css" />",false
"46","Wskaż sposób, w jaki należy odwołać się do pliku default.css, jeśli index.html znajduje się bezpośrednio w katalogu Strona?","C. <link rel="stylesheet" type="text/css" href="...styledefault.css" />",false
"46","Wskaż sposób, w jaki należy odwołać się do pliku default.css, jeśli index.html znajduje się bezpośrednio w katalogu Strona?","D. <link rel="stylesheet" type="text/css" href="c:style/default.css" />",false
"47","Wskaż stwierdzenie, które jest prawdziwe dla następującej definicji stylu:","A. Jest to styl lokalny",false
"47","Wskaż stwierdzenie, które jest prawdziwe dla następującej definicji stylu:","B. Zdefiniowano dwie klasy",true
"47","Wskaż stwierdzenie, które jest prawdziwe dla następującej definicji stylu:","C. Akapit będzie transponowany na małe litery",false
"47","Wskaż stwierdzenie, które jest prawdziwe dla następującej definicji stylu:","D. Odnośnik będzie pisany czcionką 14 punktów",false
"48","W palecie kolorów RGB kolor żółty jest połączeniem dwóch kolorów: zielonego i czerwonego. Który z kodów szesnastkowych oznacza kolor żółty?","A. #FF00FF",false
"48","W palecie kolorów RGB kolor żółty jest połączeniem dwóch kolorów: zielonego i czerwonego. Który z kodów szesnastkowych oznacza kolor żółty?","B. #00FFFF",false
"48","W palecie kolorów RGB kolor żółty jest połączeniem dwóch kolorów: zielonego i czerwonego. Który z kodów szesnastkowych oznacza kolor żółty?","C. #FFFF00",true
"48","W palecie kolorów RGB kolor żółty jest połączeniem dwóch kolorów: zielonego i czerwonego. Który z kodów szesnastkowych oznacza kolor żółty?","D. #F0F0F0",false
"49","Który z formatów NIE pozwala na zapis plików animowanych?","A. GIF",false
"49","Który z formatów NIE pozwala na zapis plików animowanych?","B. ACE",true
"49","Który z formatów NIE pozwala na zapis plików animowanych?","C. SWF",false
"49","Który z formatów NIE pozwala na zapis plików animowanych?","D. SVG",false
"50","Który z formatów graficznych pozwala na zapis przejrzystego tła?","A. GIF",true
"50","Który z formatów graficznych pozwala na zapis przejrzystego tła?","B. RAW",false
"50","Który z formatów graficznych pozwala na zapis przejrzystego tła?","C. BMP",false
"50","Który z formatów graficznych pozwala na zapis przejrzystego tła?","D. JPEG",false
"51","Proces walidacji strony internetowej to","A. zespół działań mających na celu zwiększenie oglądalności",false
"51","Proces walidacji strony internetowej to","B. sprawdzenie jej w celu wyeliminowania błędów",true
"51","Proces walidacji strony internetowej to","C. publikowanie w sieci",false
"51","Proces walidacji strony internetowej to","D. promocja strony",false
"52","Które oprogramowanie NIE JEST systemem zarządzania treścią (CMS)?","A. Joomla",false
